Rank,Name,Price,One_hour_change,Twenty_four_hour_change,Seven_day_change,Market_cap,Hr_volume,Circulating_supply
120,JasmyCoinJASMYBuy,$0.007243,0.42%,1.85%,11.49%,"$358.13M$358,130,905","$21,861,7773.01B",49.44B JASMY
121,EURCEURCBuy,$1.17,0.02%,0.35%,1.14%,"$357.58M$357,576,948","$37,814,65232.21M",304.61M EURC
122,AINFTNFTBuy,$0.063546,0.05%,0.75%,2.52%,"$354.68M$354,679,321","$26,396,88574.42T",999.99T NFT
123,DecredDCRBuy,$20.38,0.09%,2.62%,21.14%,"$351.47M$351,472,861","$3,991,450195.72K",17.23M DCR
124,Ethereum Name ServiceENSBuy,$8.89,0.60%,0.55%,13.51%,"$339.88M$339,884,430","$22,374,8842.51M",38.19M ENS
125,StableSTABLEBuy,$0.01917,0.18%,2.80%,36.74%,"$337.44M$337,438,630","$243,425,67612.71B",17.6B STABLE
126,dogwifhatWIFBuy,$0.3323,0.58%,0.97%,12.34%,"$331.96M$331,959,301","$117,385,963352.53M",998.83M WIF
127,Pyth NetworkPYTHBuy,$0.05709,0.81%,0.31%,11.37%,"$328.32M$328,322,047","$14,124,414247.36M",5.74B PYTH
128,KaiaKAIABuy,$0.05193,0.49%,2.36%,13.55%,"$323.3M$323,296,139","$15,251,329293.47M",6.22B KAIA
129,DecentralandMANABuy,$0.1609,0.83%,6.52%,11.33%,"$316.93M$316,933,409","$98,854,632613.24M",1.96B MANA
130,FartcoinFARTCOINBuy,$0.3018,1.47%,3.29%,18.60%,"$301.88M$301,876,423","$76,756,416253.84M",999.99M FARTCOIN
131,GalaGALABuy,$0.006356,0.87%,0.40%,8.89%,"$299.51M$299,509,219","$38,986,4206.11B",47.12B GALA
132,Theta NetworkTHETABuy,$0.2994,0.91%,0.48%,0.11%,"$299.48M$299,477,646","$17,095,36557.00M",1B THETA
133,Zebec NetworkZBCNBuy,$0.002969,0.33%,3.83%,3.64%,"$290.87M$290,873,991","$9,393,6953.15B",97.95B ZBCN
134,Basic Attention TokenBATBuy,$0.1890,0.21%,1.80%,0.98%,"$282.75M$282,753,127","$25,133,682133.08M",1.49B BAT
135,RaydiumRAYBuy,$1.02,0.48%,2.56%,10.04%,"$274.1M$274,102,419","$24,934,30024.42M",268.62M RAY
136,OnyxcoinXCNBuy,$0.007163,0.75%,0.11%,13.54%,"$263.27M$263,268,440","$18,374,2282.56B",36.75B XCN
137,ZKsyncZKBuy,$0.02945,1.13%,1.82%,12.89%,"$258.88M$258,883,471","$19,853,053672.90M",8.78B ZK
138,NeoNEOBuy,$3.62,0.11%,1.31%,5.44%,"$255.71M$255,708,502","$13,985,5603.85M",70.53M NEO
139,DeXeDEXEBuy,$3.03,0.22%,0.96%,6.50%,"$254.31M$254,311,063","$2,157,159710.04K",83.73M DEXE
140,CompoundCOMPBuy,$24.16,0.06%,1.14%,8.73%,"$240.73M$240,732,838","$15,096,953624.76K",9.96M COMP
141,Solana Mobile SeekerSKRBuy,$0.04412,0.75%,218.82%,319.00%,"$239.13M$239,131,867","$380,096,1238.61B",5.41B SKR
142,ArweaveARBuy,$3.53,0.28%,0.27%,7.95%,"$232.11M$232,113,684","$19,170,0655.42M",65.65M AR
143,GolemGLMBuy,$0.2314,0.28%,5.51%,22.04%,"$231.48M$231,478,468","$11,475,26849.56M",1B GLM
144,HeliumHNTBuy,$1.23,0.37%,0.64%,8.91%,"$229.95M$229,949,139","$3,600,7202.91M",186.32M HNT
145,SentientSENTBuy,$0.03075,1.90%,59.90%,59.90%,"$222.57M$222,566,070","$283,220,3139.13B",7.23B SENT
146,PlasmaXPLBuy,$0.1230,1.80%,0.56%,14.35%,"$221.54M$221,542,127","$85,933,824695.38M",1.8B XPL
147,VisionVSNBuy,$0.06153,0.33%,0.20%,30.72%,"$214.76M$214,763,702","$7,378,656119.81M",3.48B VSN
148,SonicSBuy,$0.07262,0.72%,2.57%,10.21%,"$209.16M$209,160,648","$20,999,494289.13M",2.88B S
149,eCashXECBuy,$0.00001040,0.57%,0.28%,9.36%,"$207.81M$207,813,937","$3,967,791381.38B",19.97T XEC
150,Terra ClassicLUNCBuy,$0.00003782,0.03%,0.70%,9.56%,"$206.91M$206,908,582","$10,515,997277.75B",5.46T LUNC
151,THORChainRUNEBuy,$0.5898,0.40%,0.72%,11.66%,"$207.02M$207,020,063","$69,739,422118.23M",351M RUNE
152,Falcon FinanceFFBuy,$0.08787,0.31%,4.17%,1.84%,"$205.62M$205,621,072","$109,411,4041.24B",2.34B FF
153,Convex FinanceCVXBuy,$2.04,0.80%,1.43%,3.49%,"$203.06M$203,063,674","$9,381,8734.57M",99.25M CVX
154,WalrusWALBuy,$0.1257,0.40%,1.80%,15.06%,"$198.39M$198,392,375","$13,413,948106.52M",1.57B WAL
155,KiteKITEBuy,$0.1100,0.00%,3.28%,15.65%,"$198.06M$198,055,563","$110,145,913999.93M",1.8B KITE
156,OriginTrailTRACBuy,$0.3956,2.39%,3.11%,5.95%,"$197.83M$197,825,659","$9,318,00423.54M",499.99M TRAC
157,BUILDonBBuy,$0.1976,0.24%,5.98%,15.54%,"$197.7M$197,699,868","$6,029,40230.50M",1B B
158,1inch1INCHBuy,$0.1409,0.50%,0.77%,7.99%,"$197.4M$197,403,545","$11,118,43678.81M",1.4B 1INCH
159,MonadMONBuy,$0.01799,0.88%,0.80%,18.71%,"$194.92M$194,918,134","$80,297,9024.45B",10.83B MON
160,FluidFLUIDBuy,$2.45,0.75%,2.05%,22.01%,"$190.26M$190,263,837","$4,326,9931.76M",77.53M FLUID
161,DeepBook ProtocolDEEPBuy,$0.04032,1.24%,3.95%,20.58%,"$187.25M$187,252,366","$18,355,108454.57M",4.64B DEEP
162,KaminoKMNOBuy,$0.04981,0.46%,2.65%,13.73%,"$187.4M$187,396,883","$5,586,931112.14M",3.76B KMNO
163,EigenCloudEIGENBuy,$0.3304,1.09%,0.28%,17.99%,"$180.33M$180,329,188","$34,752,667104.92M",545.69M EIGEN
164,SafePalSFPBuy,$0.3590,0.58%,4.19%,0.61%,"$179.54M$179,537,403","$3,319,4229.23M",500M SFP
165,LombardBARDBuy,$0.7975,0.73%,2.63%,1.84%,"$179.45M$179,451,134","$77,600,28297.20M",225M BARD
166,MX TokenMXBuy,$1.95,0.03%,0.32%,3.67%,"$179.13M$179,129,997","$14,385,8897.37M",91.83M MX
167,HorizenZENBuy,$9.94,0.32%,0.53%,19.96%,"$176.98M$176,977,821","$62,558,5806.28M",17.79M ZEN
168,币安人生币安人生Buy,$0.1717,2.49%,6.89%,20.15%,"$171.76M$171,757,414","$41,777,339237.58M",1B 币安人生
169,0G0GBuy,$0.8159,1.43%,10.05%,3.27%,"$174M$173,995,935","$92,767,225113.67M",213.24M 0G
170,VaultaABuy,$0.1073,1.10%,0.45%,36.74%,"$173.71M$173,711,725","$22,573,973210.10M",1.61B A
171,AmpAMPBuy,$0.002049,0.03%,0.19%,5.84%,"$172.77M$172,770,637","$4,807,4142.34B",84.28B AMP
