Rank,Name,Price,One_hour_change,Twenty_four_hour_change,Seven_day_change,Market_cap,Hr_volume,Circulating_supply
202,Falcon USDUSDfBuy,$0.9961,0.00%,0.04%,0.16%,"$2.06B$2,055,557,366","$2,288,1222.29M",2.06B USDf
203,Jupiter Perps LPJLPBuy,$4.60,0.22%,0.39%,5.51%,"$1.54B$1,542,217,712","$42,288,0169.18M",334.81M JLP
204,RiverRIVERBuy,$58.53,4.98%,29.14%,143.89%,"$1.15B$1,147,248,788","$67,989,4551.16M",19.6M RIVER
205,Ondo US Dollar YieldUSDYBuy,$1.11,0.01%,0.05%,0.06%,"$704.47M$704,472,043","$1,072,032958.57K",629.91M USDY
206,BeldexBDXBuy,$0.08658,0.03%,0.03%,3.84%,"$658.55M$658,554,821","$10,776,305124.45M",7.6B BDX
207,Usual USDUSD0Buy,$0.9984,0.04%,0.09%,0.04%,"$595.65M$595,645,779","$4,302,3014.30M",596.59M USD0
208,c8ntinuumCTMBuy,$0.1190,0.39%,1.28%,9.45%,"$519.06M$519,063,744","$984,1738.26M",4.35B CTM
209,USDaiUSDAIBuy,$0.9999,0.03%,0.04%,0.03%,"$501.32M$501,316,777","$3,261,2473.26M",501.35M USDAI
210,GHOGHOBuy,$0.9992,0.02%,0.03%,0.01%,"$494.72M$494,716,949","$1,921,2871.92M",495.1M GHO
211,FasttokenFTNBuy,$1.08,0.09%,0.05%,0.06%,"$474.32M$474,323,922","$12,377,53211.38M",436.26M FTN
212,Legacy Frax DollarFRAXBuy,$0.9931,0.01%,0.05%,0.01%,"$274.27M$274,273,880","$4,059,6244.08M",276.15M FRAX
213,Undeads GamesUDSBuy,$2.43,0.02%,1.07%,1.91%,"$242.01M$242,005,356","$959,348393.46K",99.25M UDS
214,WeFiWFIBuy,$2.94,0.14%,0.74%,7.05%,"$229.84M$229,842,928","$2,466,749837.96K",78.07M WFI
215,Ape and PepeAPEPEBuy,$0.051087,0.16%,2.42%,0.03%,"$228.32M$228,319,473","$20,194,94018.57T",210T APEPE
216,SwissBorgBORGBuy,$0.2307,0.08%,0.71%,9.83%,"$226.66M$226,662,972","$380,2871.64M",982.25M BORG
217,UltimaULTIMABuy,"$5,978.67",0.81%,2.15%,13.98%,"$223.66M$223,656,082","$26,900,2874.49K",37.4K ULTIMA
218,ZeebuZBUBuy,$0.5235,0.02%,0.14%,0.40%,"$216.57M$216,569,627","$57,086109.02K",413.62M ZBU
219,Loaded LionsLIONBuy,$0.006082,0.03%,1.60%,10.87%,"$187.62M$187,623,682","$953,680156.78M",30.84B LION
220,Quantum Resistant LedgerQRLBuy,$2.71,0.83%,7.28%,8.21%,"$184.75M$184,751,662","$105,91738.94K",67.93M QRL
221,Aster USDFUSDFBuy,$0.9984,0.00%,0.09%,0.04%,"$177.09M$177,091,180","$330,785331.28K",177.35M USDF
222,AUSDAUSDBuy,$0.9996,0.01%,0.01%,0.00%,"$166.74M$166,735,082","$35,119,48035.13M",166.8M AUSD
223,AileyALEBuy,$0.3786,0.04%,0.44%,2.56%,"$166.5M$166,503,899","$165,372436.58K",439.72M ALE
224,48 Club TokenKOGEBuy,$47.95,0.01%,0.01%,0.05%,"$162.49M$162,493,478","$188,065,7233.92M",3.38M KOGE
225,StandX DUSDDUSDBuy,$0.9986,0.00%,0.00%,0.08%,"$160.07M$160,070,326","$3,512,7493.51M",160.28M DUSD
226,GoМiningGOMININGBuy,$0.3845,0.09%,1.67%,5.44%,"$156.07M$156,073,101","$10,504,47027.33M",405.9M GOMINING
227,Ribbita by VirtualsTIBBIRBuy,$0.1522,1.43%,6.76%,17.21%,"$152.24M$152,235,599","$7,334,34548.56M",1B TIBBIR
228,SoSoValueSOSOBuy,$0.5473,0.13%,0.74%,1.07%,"$150.39M$150,387,090","$7,268,10913.27M",274.76M SOSO
229,Rollbit CoinRLBBuy,$0.08479,0.29%,1.38%,9.22%,"$150.42M$150,417,629","$427,3095.04M",1.77B RLB
230,GUSDGUSDBuy,$0.9983,0.00%,0.05%,0.04%,"$149.2M$149,199,973","$970,183971.90K",149.44M GUSD
231,STASIS EUROEURSBuy,$1.16,0.14%,0.54%,0.65%,"$144.96M$144,958,074","$2,2431.92K",124.12M EURS
232,ConcordiumCCDBuy,$0.01224,0.08%,9.76%,25.34%,"$144.72M$144,720,164","$639,12352.17M",11.81B CCD
233,ZanoZANOBuy,$9.33,0.44%,4.79%,11.04%,"$140M$139,998,526","$2,012,369215.41K",15M ZANO
234,ZamaZAMABuy,$0.06255,2.22%,0.95%,19.88%,"$137.62M$137,617,689",--,2.2B ZAMA
235,KeetaKTABuy,$0.2679,0.34%,1.54%,4.25%,"$128.34M$128,344,411","$4,878,28018.20M",478.94M KTA
236,SLTSLTBuy,$14.58,0.29%,0.79%,4.81%,"$123.95M$123,947,764","$133,4399.15K",8.5M SLT
237,YooldoESPORTSBuy,$0.4535,0.07%,0.37%,3.37%,"$123.29M$123,294,064","$131,675,020290.83M",271.85M ESPORTS
238,Frax USDFRXUSDBuy,$0.9998,0.01%,0.06%,0.03%,"$122.88M$122,881,874","$15,665,71515.65M",122.89M FRXUSD
239,ToshiTOSHIBuy,$0.0002876,0.68%,0.61%,12.53%,"$120.99M$120,986,483","$12,547,03543.54B",420.67B TOSHI
240,Alchemy PayACHBuy,$0.01226,1.00%,3.07%,8.58%,"$120.95M$120,946,364","$22,499,8161.83B",9.86B ACH
241,Akash NetworkAKTBuy,$0.4215,0.63%,0.63%,11.13%,"$120.81M$120,810,004","$4,850,83311.50M",286.58M AKT
242,VergeXVGBuy,$0.007296,0.58%,1.43%,5.75%,"$120.56M$120,558,764","$20,760,1962.85B",16.52B XVG
243,CoreCOREBuy,$0.1147,0.62%,0.52%,8.52%,"$119.71M$119,705,060","$6,899,02060.16M",1.04B CORE
244,Venice TokenVVVBuy,$2.72,0.44%,2.81%,13.37%,"$119.59M$119,591,095","$4,191,2661.53M",43.82M VVV
245,CoW ProtocolCOWBuy,$0.2139,0.88%,0.78%,12.71%,"$118.97M$118,969,736","$3,781,04317.67M",556.16M COW
246,yearn.financeYFIBuy,"$3,395.53",0.35%,1.25%,2.35%,"$119.16M$119,155,922","$8,168,2342.40K",35.09K YFI
247,BitMart TokenBMXBuy,$0.3643,0.05%,0.02%,11.97%,"$118.14M$118,137,362","$5,990,96616.43M",324.28M BMX
248,KusamaKSMBuy,$6.68,0.79%,0.63%,9.78%,"$117.96M$117,956,679","$6,155,039920.93K",17.65M KSM
249,SuperVerseSUPERBuy,$0.1851,0.60%,0.06%,11.53%,"$117.98M$117,982,855","$10,258,93755.40M",637.16M SUPER
250,SOONSOONBuy,$0.3070,0.26%,2.69%,11.99%,"$117.75M$117,748,427","$6,216,62120.23M",383.54M SOON
251,Nervos NetworkCKBBuy,$0.002415,0.83%,1.19%,8.62%,"$116.15M$116,154,729","$5,066,9802.09B",48.07B CKB
252,BerachainBERABuy,$0.7901,0.99%,9.06%,10.76%,"$115.54M$115,536,340","$78,513,98699.15M",146.21M BERA
253,RoninRONBuy,$0.1577,1.27%,5.60%,12.23%,"$115.04M$115,035,178","$20,901,438132.10M",729.05M RON
254,Stargate FinanceSTGBuy,$0.1715,0.97%,5.28%,24.28%,"$113.38M$113,376,720","$15,405,59589.06M",660.95M STG
255,MinaMINABuy,$0.08796,1.32%,7.12%,4.17%,"$111.83M$111,826,646","$46,297,242522.82M",1.27B MINA
256,DigiByteDGBBuy,$0.006125,0.21%,0.10%,2.35%,"$110.96M$110,955,916","$2,234,983365.47M",18.11B DGB
257,AIOZ NetworkAIOZBuy,$0.08864,1.50%,0.92%,17.72%,"$109.16M$109,155,773","$6,740,37475.97M",1.23B AIOZ
258,Keep NetworkKEEPBuy,$0.1122,1.44%,8.13%,55.39%,"$108.63M$108,633,839","$10,58694.35K",967.78M KEEP
259,RavencoinRVNBuy,$0.006748,0.63%,0.02%,8.31%,"$108.26M$108,263,658","$5,216,823772.62M",16.04B RVN
260,Baby Doge CoinBabyDogeBuy,$0.095997,0.65%,1.58%,13.78%,"$105.95M$105,950,861","$5,633,8369.37P",176.65P BabyDoge
261,TurboTURBOBuy,$0.001533,0.90%,0.95%,13.80%,"$105.79M$105,793,337","$13,826,0179.00B",69B TURBO
262,0x ProtocolZRXBuy,$0.1246,2.21%,1.95%,13.94%,"$105.71M$105,714,933","$20,210,355162.03M",848.39M ZRX
263,MovementMOVEBuy,$0.03320,0.84%,0.73%,13.09%,"$105.56M$105,561,136","$16,151,414485.93M",3.17B MOVE
264,VeloVELOBuy,$0.005917,1.34%,0.78%,6.02%,"$103.94M$103,939,314","$20,967,2813.51B",17.56B VELO
265,PieversePIEVERSEBuy,$0.5613,2.17%,3.41%,12.23%,"$104.98M$104,981,267","$18,914,94433.92M",187.02M PIEVERSE
266,ViciCoinVCNTBuy,$17.05,0.34%,0.20%,0.66%,"$103.84M$103,843,318","$226,31013.21K",6.08M VCNT
267,IrysIRYSBuy,$0.04879,1.65%,4.27%,4.22%,"$102.22M$102,223,909","$21,578,546438.83M",2.09B IRYS
268,ThresholdTBuy,$0.009156,0.51%,0.54%,6.03%,"$102.14M$102,141,268","$2,635,649287.61M",11.15B T
269,Defi AppHOMEBuy,$0.03083,0.63%,1.34%,9.40%,"$102.05M$102,053,302","$30,902,2581.00B",3.3B HOME
270,AWEAWEBuy,$0.05205,0.70%,1.60%,4.83%,"$101.11M$101,109,992","$4,602,05188.27M",1.94B AWE
271,YZY MONEYYZYBuy,$0.3358,0.22%,1.30%,4.55%,"$100.77M$100,769,756","$1,299,6823.86M",299.99M YZY
272,MNEEMNEEBuy,$1.00,0.08%,0.24%,0.20%,"$100.81M$100,807,960","$90,14090.24K",100.71M MNEE
273,FellazFLZBuy,$0.2131,0.03%,2.28%,8.72%,"$100.57M$100,565,576","$2,951,79813.85M",471.87M FLZ
274,RealLinkREALBuy,$0.07328,0.18%,1.62%,7.80%,"$100.69M$100,694,968","$6,892,89694.28M",1.37B REAL
275,Alchemist AIALCHBuy,$0.1215,1.73%,5.45%,21.05%,"$103.31M$103,309,503","$37,723,612319.25M",850M ALCH
276,Bio ProtocolBIOBuy,$0.05092,0.96%,8.12%,20.61%,"$99.49M$99,487,991","$79,851,5261.56B",1.95B BIO
277,Magic EdenMEBuy,$0.2319,1.14%,4.35%,6.01%,"$98.82M$98,818,235","$29,418,973126.91M",426.03M ME
278,Mog CoinMOGBuy,$0.062519,0.68%,0.72%,17.02%,"$98.4M$98,404,032","$6,635,87626.33T",390.56T MOG
279,KAITOKAITOBuy,$0.4062,1.15%,5.73%,29.13%,"$98.06M$98,057,758","$18,312,09045.06M",241.38M KAITO
280,ZilliqaZILBuy,$0.004955,1.04%,0.33%,9.51%,"$97.41M$97,414,012","$10,168,3102.04B",19.65B ZIL
281,Frax (prev. FXS)FRAXBuy,$1.02,5.54%,8.19%,1.50%,"$94.35M$94,348,930","$40,247,02438.64M",91.93M FRAX
282,DohrniiDHNBuy,$5.52,2.30%,6.23%,5.98%,"$94.39M$94,388,237","$188,20933.83K",17.07M DHN
283,NanoXNOBuy,$0.6969,0.22%,0.15%,4.78%,"$92.87M$92,865,245","$660,881953.85K",133.24M XNO
284,ShuffleSHFLBuy,$0.2497,0.21%,1.99%,12.92%,"$92.31M$92,311,531","$85,362341.75K",369.57M SHFL
285,AleoALEOBuy,$0.1114,1.65%,2.85%,8.36%,"$91.78M$91,775,767","$4,974,86044.53M",823.57M ALEO
286,Rekt (rekt.com)REKTBuy,$0.063272,0.48%,1.41%,0.87%,"$91.69M$91,694,501","$571,7021.74T",280.18T REKT
287,MetYaMYBuy,$0.09297,1.15%,1.41%,11.91%,"$91.14M$91,140,331","$9,096,49997.45M",980.25M MY
288,UnibaseUBBuy,$0.03544,0.47%,1.69%,4.59%,"$88.61M$88,605,644","$8,358,561235.61M",2.5B UB
289,KUB CoinKUBBuy,$1.26,0.50%,1.65%,4.27%,"$87.21M$87,214,065","$360,586285.44K",68.97M KUB
290,DuskDUSKBuy,$0.1753,2.33%,23.66%,176.46%,"$86.46M$86,455,422","$71,110,722403.13M",492.99M DUSK
291,Moca NetworkMOCABuy,$0.02197,0.87%,2.35%,2.59%,"$86.86M$86,861,551","$10,076,502458.32M",3.95B MOCA
292,XPR NetworkXPRBuy,$0.003055,0.06%,0.08%,16.62%,"$86.75M$86,747,738","$2,246,361734.53M",28.38B XPR
293,AstarASTRBuy,$0.01017,0.54%,3.44%,6.49%,"$86.72M$86,722,078","$3,758,341369.18M",8.52B ASTR
294,SushiSwapSUSHIBuy,$0.3026,0.61%,0.43%,6.49%,"$86.81M$86,806,270","$13,389,88544.24M",286.83M SUSHI
295,KavaKAVABuy,$0.07978,0.70%,0.81%,8.72%,"$86.39M$86,394,026","$3,765,48447.14M",1.08B KAVA
296,VenusXVSBuy,$5.29,0.38%,0.87%,7.21%,"$86.13M$86,125,383","$10,691,6832.01M",16.25M XVS
297,SPACE IDIDBuy,$0.06636,0.30%,2.80%,6.98%,"$86.03M$86,025,028","$8,047,132121.34M",1.29B ID
298,BlurBLURBuy,$0.03164,0.44%,3.07%,5.44%,"$85.48M$85,478,567","$16,604,910523.23M",2.7B BLUR
299,ZetaChainZETABuy,$0.07006,0.20%,2.49%,12.86%,"$85.34M$85,336,860","$7,165,362102.16M",1.21B ZETA
300,ORDIORDIBuy,$4.05,0.39%,0.73%,20.64%,"$85.13M$85,130,989","$16,674,4604.10M",21M ORDI
301,SiacoinSCBuy,$0.001518,0.22%,0.14%,8.02%,"$85.09M$85,085,438","$4,741,4313.12B",56.02B SC
302,RequestREQBuy,$0.1054,0.36%,0.36%,0.02%,"$83.98M$83,981,172","$2,012,26719.08M",796.69M REQ
303,HoloHOTBuy,$0.0004792,0.31%,1.17%,7.07%,"$84.01M$84,009,833","$5,081,06710.61B",175.31B HOT
304,QubicQUBICBuy,$0.066205,0.89%,3.41%,13.47%,"$82.69M$82,691,144","$1,599,2552.57T",133.25T QUBIC
305,LineaLINEABuy,$0.005339,0.64%,2.95%,15.14%,"$82.67M$82,673,028","$28,971,5145.42B",15.48B LINEA
306,Pirate ChainARRRBuy,$0.4209,0.20%,2.25%,32.71%,"$82.6M$82,596,858","$157,693374.60K",196.21M ARRR
307,DriftDRIFTBuy,$0.1488,0.60%,0.73%,11.34%,"$82.31M$82,310,461","$9,462,52063.56M",552.92M DRIFT
308,NEXPACENXPCBuy,$0.3504,0.91%,1.74%,7.16%,"$82.31M$82,306,816","$12,264,62234.99M",234.86M NXPC
309,ADIADIBuy,$1.60,0.01%,1.09%,12.82%,"$81.89M$81,889,293","$280,357175.11K",51.14M ADI
310,cat in a dogs worldMEWBuy,$0.0009107,0.74%,1.83%,7.19%,"$80.96M$80,959,402","$19,013,10120.87B",88.88B MEW
311,VVS FinanceVVSBuy,$0.051831,0.03%,0.34%,9.70%,"$79.95M$79,948,763","$242,355132.29B",43.64T VVS
312,WavesWAVESBuy,$0.6599,0.47%,2.02%,1.85%,"$79.15M$79,151,821","$12,537,03218.99M",119.93M WAVES
313,Quai NetworkQUAIBuy,$0.1001,2.99%,14.22%,2.10%,"$78.38M$78,380,936","$975,3099.73M",782.48M QUAI
314,ComedianBANBuy,$0.07807,0.30%,2.42%,4.19%,"$78.07M$78,073,369","$9,400,334120.39M",999.96M BAN
315,aelfELFBuy,$0.09462,0.24%,0.23%,6.27%,"$77.27M$77,267,160","$2,554,23426.99M",816.54M ELF
316,EUR CoinVertibleEURCVBuy,$1.17,0.01%,0.38%,1.12%,"$77.19M$77,193,146","$32,676,95127.83M",65.75M EURCV
317,Popcat (SOL)POPCATBuy,$0.07816,0.90%,1.81%,14.89%,"$76.6M$76,602,289","$13,903,306177.86M",979.97M POPCAT
318,MANTRAOMBuy,$0.06543,0.40%,0.46%,11.12%,"$76.09M$76,087,664","$21,420,173327.06M",1.16B OM
319,Yei FinanceCLOBuy,$0.5872,1.47%,15.14%,19.08%,"$75.81M$75,813,826","$11,716,39419.95M",129.1M CLO
320,XYOXYOBuy,$0.005523,0.05%,4.29%,3.96%,"$75.43M$75,426,291","$17,874,4823.23B",13.65B XYO
321,GMXGMXBuy,$7.22,0.58%,0.03%,8.20%,"$74.95M$74,954,475","$5,171,045716.00K",10.38M GMX
322,VeThor TokenVTHOBuy,$0.0007622,0.71%,0.60%,8.94%,"$74.44M$74,438,594","$1,451,2831.90B",97.65B VTHO
323,IoTeXIOTXBuy,$0.007872,0.63%,2.32%,3.62%,"$74.33M$74,325,064","$3,112,216394.91M",9.44B IOTX
324,Tesla tokenized stock (xStock)TSLAXBuy,$447.73,0.30%,4.99%,1.31%,"$73.65M$73,650,847","$34,391,38677.00K",164.49K TSLAX
325,ChainOpera AICOAIBuy,$0.3905,0.42%,0.26%,10.51%,"$73.42M$73,415,201","$21,887,02056.10M",188M COAI
326,PlumePLUMEBuy,$0.01507,1.39%,3.20%,10.28%,"$72.44M$72,440,894","$19,854,4971.31B",4.8B PLUME
327,RaveDAORAVEBuy,$0.3070,0.15%,3.63%,7.34%,"$72.07M$72,070,111","$5,273,33917.19M",234.73M RAVE
328,StaikaSTIKBuy,$0.5267,1.57%,1.05%,4.63%,"$71.92M$71,920,170","$40,16376.27K",136.53M STIK
329,Peanut the SquirrelPNUTBuy,$0.07181,0.67%,0.20%,12.49%,"$71.8M$71,799,109","$15,437,470214.77M",999.84M PNUT
330,Useless CoinUSELESSBuy,$0.07204,0.45%,1.40%,29.33%,"$71.98M$71,977,953","$26,187,278364.19M",999.08M USELESS
331,PaycoinPCIBuy,$0.06770,0.09%,0.34%,5.84%,"$71.91M$71,911,217","$362,3035.35M",1.06B PCI
332,AxelarAXLBuy,$0.06389,0.66%,1.27%,12.94%,"$70.77M$70,766,880","$10,986,759171.79M",1.1B AXL
333,NumeraireNMRBuy,$9.44,1.14%,1.09%,9.75%,"$70.69M$70,692,406","$7,803,146825.13K",7.48M NMR
334,ISLMISLMBuy,$0.03219,0.05%,2.33%,15.16%,"$70.4M$70,403,729","$62,6531.94M",2.18B ISLM
335,Non-Playable CoinNPCBuy,$0.009157,0.89%,2.38%,25.48%,"$69.02M$69,023,233","$8,236,665896.64M",7.53B NPC
336,MindWaveDAONILABuy,$0.08206,0.54%,0.07%,0.93%,"$69.17M$69,165,019","$283,2533.45M",842.76M NILA
337,Impossible Cloud NetworkICNTBuy,$0.4008,0.44%,7.58%,12.57%,"$67.04M$67,036,010","$12,531,77830.34M",167.22M ICNT
338,SuccinctPROVEBuy,$0.3520,0.68%,2.62%,13.76%,"$68.65M$68,653,263","$11,427,77932.43M",195M PROVE
339,ssv.networkSSVBuy,$4.23,0.23%,0.82%,7.39%,"$68.22M$68,218,384","$16,347,0743.85M",16.11M SSV
340,AvantisAVNTBuy,$0.2640,0.56%,2.45%,9.55%,"$68.17M$68,170,851","$19,034,24371.95M",258.2M AVNT
341,U.S. Dollar Tokenized Currency (Ondo)USDonBuy,$0.9991,0.00%,0.01%,0.04%,"$68.31M$68,306,151","$25,793,19925.81M",68.36M USDon
342,CeloCELOBuy,$0.1150,1.01%,0.65%,9.09%,"$68.13M$68,126,745","$14,874,439129.45M",592.17M CELO
343,GrassGRASSBuy,$0.2785,0.46%,0.19%,10.73%,"$67.94M$67,942,870","$19,053,76368.32M",243.9M GRASS
344,MemecoinMEMEBuy,$0.001094,1.29%,4.07%,0.16%,"$67.51M$67,508,917","$23,215,14621.05B",61.68B MEME
345,RedStoneREDBuy,$0.2213,0.65%,0.01%,10.03%,"$67.39M$67,390,433","$3,754,58316.94M",304.49M RED
346,Moo Deng (moodengsol.com)MOODENGBuy,$0.06797,0.98%,2.38%,10.73%,"$67.3M$67,297,942","$14,825,050217.72M",989.97M MOODENG
347,LoopringLRCBuy,$0.04916,0.67%,0.04%,4.82%,"$67.26M$67,263,524","$7,018,919142.59M",1.36B LRC
348,lisUSDlisUSDBuy,$0.9979,0.01%,0.03%,0.10%,"$67.14M$67,139,409",$607608.68,67.27M lisUSD
349,CentrifugeCFGBuy,$0.1161,1.07%,0.42%,12.91%,"$66.78M$66,783,847","$431,6643.71M",575.13M CFG
350,StatusSNTBuy,$0.01387,0.26%,0.81%,6.69%,"$66.55M$66,548,292","$3,999,580288.28M",4.79B SNT
351,ZIGChainZIGBuy,$0.04720,0.20%,2.07%,21.62%,"$66.51M$66,508,041","$2,089,85244.23M",1.4B ZIG
352,SignSIGNBuy,$0.04061,0.07%,4.56%,3.78%,"$66.61M$66,612,673","$3,911,33196.56M",1.64B SIGN
353,CysicCYSBuy,$0.4113,0.29%,10.27%,14.89%,"$66.14M$66,139,063","$10,309,16825.00M",160.8M CYS
354,USDHUSDHBuy,$0.9998,0.02%,0.00%,0.06%,"$66.14M$66,138,079","$19,142,54919.14M",66.14M USDH
355,SubsquidSQDBuy,$0.06677,2.16%,4.49%,8.90%,"$66M$65,996,254","$4,531,03967.80M",988.39M SQD
356,KGeNKGENBuy,$0.3234,4.85%,27.41%,21.95%,"$64.25M$64,254,316","$42,108,690128.54M",198.67M KGEN
357,InitVerseINIBuy,$0.1185,0.30%,0.98%,0.30%,"$64.75M$64,749,592","$1,490,76912.56M",546.33M INI
358,AI Rig ComplexARCBuy,$0.06452,0.38%,11.03%,14.92%,"$64.52M$64,522,892","$24,623,892381.95M",999.99M ARC
359,GEODNETGEODBuy,$0.1468,0.22%,3.69%,7.54%,"$64.45M$64,450,866","$310,4802.11M",438.77M GEOD
360,ChiaXCHBuy,$4.41,0.64%,1.90%,13.11%,"$63.69M$63,694,075","$3,000,133676.93K",14.41M XCH
361,SKALESKLBuy,$0.01051,1.42%,11.65%,2.10%,"$63.9M$63,903,674","$26,467,1072.52B",6.07B SKL
362,Huma FinanceHUMABuy,$0.02471,1.91%,2.26%,9.14%,"$64.04M$64,044,483","$13,646,228555.26M",2.59B HUMA
363,OrcaORCABuy,$1.05,0.68%,0.02%,7.33%,"$63.47M$63,474,632","$5,002,7474.73M",60.15M ORCA
364,AnkrANKRBuy,$0.006333,0.83%,1.73%,7.24%,"$63.33M$63,332,491","$8,430,3871.32B",10B ANKR
365,UMAUMABuy,$0.6996,0.69%,0.10%,6.26%,"$62.64M$62,640,799","$5,606,8888.00M",89.52M UMA
366,ChintaiCHEXBuy,$0.06262,0.18%,8.94%,11.44%,"$62.56M$62,560,119","$623,5729.93M",998.92M CHEX
367,VanaVANABuy,$2.08,0.27%,0.87%,11.35%,"$62.64M$62,644,571","$4,953,0562.37M",30.08M VANA
368,SurgeSURGEBuy,$0.1274,1.61%,4.64%,232.61%,"$62.47M$62,473,236","$35,953,460281.41M",490M SURGE
369,Department Of Government Efficiency (DOGE)DOGEBuy,$0.1245,0.18%,1.07%,11.22%,"$62.26M$62,262,456","$3,22425.87K",500M DOGE
370,Sahara AISAHARABuy,$0.02342,0.76%,1.55%,12.56%,"$61.92M$61,923,918","$7,768,165331.97M",2.64B SAHARA
371,CasperCSPRBuy,$0.004451,1.66%,3.95%,14.74%,"$61.38M$61,376,790","$3,003,700674.82M",13.78B CSPR
372,SnekSNEKBuy,$0.0008124,0.16%,5.96%,16.86%,"$60.74M$60,737,397","$5,301,8936.51B",74.75B SNEK
373,MultiBank GroupMBGBuy,$0.4650,1.07%,0.91%,17.53%,"$60.76M$60,760,291","$16,915,02936.32M",130.65M MBG
374,Mask NetworkMASKBuy,$0.6061,0.69%,0.63%,7.79%,"$60.62M$60,618,087","$20,324,10633.46M",100M MASK
375,sirenSIRENBuy,$0.08357,0.13%,12.80%,13.82%,"$60.92M$60,916,171","$10,500,026126.30M",728.87M SIREN
376,Victoria VRVRBuy,$0.003602,0.09%,0.92%,9.61%,"$60.52M$60,520,381","$963,433267.48M",16.8B VR
377,SecretSCRTBuy,$0.1843,1.40%,18.36%,47.15%,"$60.85M$60,852,445","$29,216,074159.61M",330.17M SCRT
378,Jelly-My-JellyJELLYJELLYBuy,$0.06031,1.16%,2.87%,3.44%,"$60.32M$60,316,134","$4,180,37269.30M",999.99M JELLYJELLY
379,Venus BUSDvBUSDBuy,$0.02229,0.04%,0.02%,0.26%,"$60.09M$60,089,875",--,2.69B vBUSD
380,Enjin CoinENJBuy,$0.03092,0.43%,5.29%,3.66%,"$59.52M$59,521,415","$10,694,607345.90M",1.92B ENJ
381,AltlayerALTBuy,$0.01140,1.00%,2.19%,6.27%,"$59.32M$59,320,977","$9,451,541827.56M",5.19B ALT
382,BitDCABDCABuy,$0.7852,0.20%,1.28%,0.56%,"$59.36M$59,361,569","$264,237336.52K",75.59M BDCA
383,ICONICXBuy,$0.05385,0.61%,0.58%,7.25%,"$58.58M$58,580,024","$1,251,37623.20M",1.08B ICX
384,Matrixdock GoldXAUMBuy,"$5,002.38",2.34%,3.43%,8.20%,"$60.12M$60,122,329","$526,374107.99",12.01K XAUM
385,BrevisBREVBuy,$0.2335,0.16%,1.39%,22.81%,"$58.39M$58,387,640","$33,511,628144.26M",250M BREV
386,ArdorARDRBuy,$0.05853,0.07%,0.47%,4.28%,"$58.45M$58,445,591","$1,361,66623.41M",998.46M ARDR
387,PolymeshPOLYXBuy,$0.05674,0.88%,1.33%,17.15%,"$57.88M$57,881,962","$1,879,95333.09M",1.02B POLYX
388,WhiteRockWHITEBuy,$0.00008861,0.00%,1.02%,0.11%,"$57.6M$57,598,124","$331,0663.73B",650B WHITE
389,HashKey Platform TokenHSKBuy,$0.1704,0.07%,2.14%,14.91%,"$57.39M$57,390,685","$5,383,48131.58M",336.63M HSK
390,QuantixAIQAIBuy,$71.31,0.19%,0.89%,5.02%,"$57.33M$57,328,433","$7,152,591100.47K",803.85K QAI
391,Pundi X (New)PUNDIXBuy,$0.2213,0.45%,0.66%,7.21%,"$57.18M$57,183,842","$2,303,75910.40M",258.38M PUNDIX
392,Tornado CashTORNBuy,$10.90,0.08%,2.07%,8.27%,"$57.36M$57,355,114","$104,4779.60K",5.26M TORN
393,LagrangeLABuy,$0.2929,1.04%,1.16%,6.39%,"$56.54M$56,537,536","$18,082,86861.74M",193M LA
394,BIMBIMBuy,$1.87,0.30%,1.14%,9.71%,"$56.25M$56,248,463","$315,771168.46K",30M BIM
395,GOHOMEGOHOMEBuy,$112.16,0.00%,0.34%,5.44%,"$56.07M$56,071,165","$1,434,11712.77K",499.89K GOHOME
396,Decentralized SocialDESOBuy,$6.30,0.12%,4.38%,4.73%,"$56M$55,995,170","$38,3616.08K",8.88M DESO
397,TerraLUNABuy,$0.07884,0.66%,0.93%,9.23%,"$55.98M$55,980,971","$11,484,292145.66M",709.98M LUNA
398,Anchored Coins AEURAEURBuy,$1.14,0.14%,0.18%,0.39%,"$54.98M$54,982,715","$195,665170.56K",47.92M AEUR
399,TellorTRBBuy,$19.95,0.94%,0.25%,7.35%,"$54.73M$54,729,349","$13,375,285668.18K",2.74M TRB
400,GUNZGUNBuy,$0.03731,0.36%,21.52%,24.00%,"$54.75M$54,745,581","$127,233,8453.40B",1.46B GUN
401,OntologyONTBuy,$0.05852,0.44%,0.05%,10.41%,"$54.68M$54,682,232","$5,180,73488.43M",934.26M ONT
402,Quack AIQBuy,$0.01780,5.57%,8.17%,0.03%,"$54.64M$54,641,080","$6,705,432376.60M",3.06B Q
403,BUSDBUSDBuy,$0.9997,0.01%,0.02%,0.27%,"$54.63M$54,629,344","$779,582779.87K",54.64M BUSD
404,BounceBitBBBuy,$0.05601,0.85%,0.47%,7.46%,"$54.21M$54,209,588","$9,714,934173.43M",967.76M BB
405,SologenicSOLOBuy,$0.1355,0.83%,2.67%,9.80%,"$54.07M$54,067,266","$3,048,13722.48M",398.77M SOLO
406,StorjSTORJBuy,$0.1276,0.64%,0.72%,7.44%,"$54M$54,000,850","$4,167,51732.64M",422.97M STORJ
407,EthereumPoWETHWBuy,$0.4982,0.29%,0.37%,10.10%,"$53.72M$53,715,433","$4,885,4119.80M",107.81M ETHW
